team_id,player_id,last_changed_date
1001,1001,2024-04-17
1002,1006,2024-04-17
1003,1008,2024-04-17
1004,1009,2024-04-17
1005,1010,2024-04-17
1006,1012,2024-04-17
1007,1015,2024-04-17
1008,1016,2024-04-17
1009,1019,2024-04-17
1010,1020,2024-04-17
1011,1023,2024-04-17
1012,1027,2024-04-17
1013,1029,2024-04-17
1014,1041,2024-04-17
1015,1043,2024-04-17
1016,1052,2024-04-17
1017,1054,2024-04-17
1018,1055,2024-04-17
1019,1057,2024-04-17
1020,1065,2024-04-17
1001,1003,2024-04-17
1002,1013,2024-04-17
1003,1033,2024-04-17
1004,1039,2024-04-17
1005,1053,2024-04-17
1006,1056,2024-04-17
1007,1063,2024-04-17
1008,1069,2024-04-17
1009,1072,2024-04-17
1010,1074,2024-04-17
1011,1081,2024-04-17
1012,1084,2024-04-17
1013,1085,2024-04-17
1014,1086,2024-04-17
1015,1092,2024-04-17
1016,1096,2024-04-17
1017,1097,2024-04-17
1018,1106,2024-04-17
1019,1117,2024-04-17
1020,1123,2024-04-17
1001,1002,2024-04-17
1002,1004,2024-04-17
1003,1005,2024-04-17
1004,1011,2024-04-17
1005,1025,2024-04-17
1006,1026,2024-04-17
1007,1028,2024-04-17
1008,1030,2024-04-17
1009,1035,2024-04-17
1010,1037,2024-04-17
1011,1048,2024-04-17
1012,1049,2024-04-17
1013,1064,2024-04-17
1014,1104,2024-04-17
1015,1107,2024-04-17
1016,1139,2024-04-17
1017,1168,2024-04-17
1018,1173,2024-04-17
1019,1179,2024-04-17
1020,1203,2024-04-17
1001,1018,2024-04-17
1001,1022,2024-04-17
1002,1031,2024-04-17
1002,1040,2024-04-17
1003,1044,2024-04-17
1003,1046,2024-04-17
1004,1047,2024-04-17
1004,1059,2024-04-17
1005,1071,2024-04-17
1005,1073,2024-04-17
1006,1082,2024-04-17
1006,1087,2024-04-17
1007,1101,2024-04-17
1007,1108,2024-04-17
1008,1113,2024-04-17
1008,1116,2024-04-17
1009,1121,2024-04-17
1009,1126,2024-04-17
1010,1133,2024-04-17
1010,1137,2024-04-17
1011,1138,2024-04-17
1011,1141,2024-04-17
1012,1145,2024-04-17
1012,1153,2024-04-17
1013,1156,2024-04-17
1013,1158,2024-04-17
1014,1159,2024-04-17
1014,1167,2024-04-17
1015,1170,2024-04-17
1015,1175,2024-04-17
1016,1176,2024-04-17
1016,1186,2024-04-17
1017,1188,2024-04-17
1017,1189,2024-04-17
1018,1192,2024-04-17
1018,1193,2024-04-17
1019,1196,2024-04-17
1019,1198,2024-04-17
1020,1199,2024-04-17
1020,1205,2024-04-17
1001,1007,2024-04-17
1001,1014,2024-04-17
1002,1017,2024-04-17
1002,1021,2024-04-17
1003,1024,2024-04-17
1003,1032,2024-04-17
1004,1034,2024-04-17
1004,1036,2024-04-17
1005,1038,2024-04-17
1005,1042,2024-04-17
1006,1045,2024-04-17
1006,1050,2024-04-17
1007,1051,2024-04-17
1007,1058,2024-04-17
1008,1060,2024-04-17
1008,1061,2024-04-17
1009,1062,2024-04-17
1009,1066,2024-04-17
1010,1067,2024-04-17
1010,1068,2024-04-17
1011,1070,2024-04-17
1011,1075,2024-04-17
1012,1077,2024-04-17
1012,1078,2024-04-17
1013,1079,2024-04-17
1013,1080,2024-04-17
1014,1083,2024-04-17
1014,1089,2024-04-17
1015,1090,2024-04-17
1015,1091,2024-04-17
1016,1095,2024-04-17
1016,1098,2024-04-17
1017,1102,2024-04-17
1017,1103,2024-04-17
1018,1105,2024-04-17
1018,1109,2024-04-17
1019,1110,2024-04-17
1019,1111,2024-04-17
1020,1115,2024-04-17
1020,1118,2024-04-17
